AVISO: cero celdas tecleadas en este instrumento. El arranque del cuerpo NO
es una constante mia: sale de fuentes/gerber_emyth/cap_01.md, linea 8, que es la siguiente al segundo
--- de la cabecera yaml (cierres en L1 y L7). El cuerpo va de L8 a L71.

| pieza | lineas | palabras | que es | clase |
|---|---|---:|---|---|
| `R1` | L8 a L9 | **1** | el rotulo `FOREWORD` | **RESIDUO: rotulo** |
| `R2` | L10 a L21 | **612** | los quince anios desde The E-Myth: la familia, los viajes, el origen de la casa E-Myth Worldwide y la presentacion de Sarah como interlocutora del libro | **POSTURA y CASO** |
| `R3` | L22 a L23 | **24** | el anuncio de que antes de Sarah vienen unas reflexiones sobre los negocios pequenios y quien los posee | **RESIDUO: bisagra** |
| `R4` | L24 a L47 | **456** | que saben los duenios de negocios extraordinarios: la necesidad insaciable de saber mas, el algo mas alto, y la fascinacion por las cosas pequenias hechas exactamente bien | **POSTURA** |
| `R5` | L48 a L59 | **215** | el libro como guia de una indagacion sin final: no trata de finales sino de comienzos, y el negocio como espejo de uno mismo | **POSTURA** |
| `R6` | L60 a L71 | **94** | el cierre: conocete a ti mismo, la cita de Anthony Greenbank sobre sobrevivir, la firma, el lugar y la fecha | **POSTURA** |
| **el cuerpo entero** | **L8 a L71** | **1402** | **suma de las piezas: 1402** | **residuo sin asignar: 0** |

piezas: 6   lineas solapadas: 0   lineas sin cubrir: 0   cuerpo 1402   suma 1402   residuo 0
