a	b	clase	madre	lectura
cerrar_brecha_dos_preguntas_estrategia	preguntar_seguimiento_hallar_huecos	SANO		dos preguntas para cerrar la brecha de un plan contra la bateria de preguntas de seguimiento de la reunion a solas de Scott; el barrido la levanta por paso_contra_nodo sobre el verbo preguntar, y ningun paso hace lo del otro
cerrar_brecha_dos_preguntas_estrategia	responder_tres_preguntas_vocacion_directiva	SANO		brecha del plan contra las tres preguntas de Zhuo sobre si la gestion es tu camino; comparten solo la forma de pregunta
cerrar_brecha_dos_preguntas_estrategia	contestar_dos_preguntas_direccion_objetivos	SANO		paso 3 de la planificacion (que necesitas y que puedes hacer contra la brecha) contra las dos preguntas del sistema de objetivos (adonde voy, como me marco el ritmo); ningun paso compartido
cerrar_brecha_dos_preguntas_estrategia	preparar_preguntas_entrevista_antemano	SANO		brecha del plan contra preparar las preguntas de una entrevista (Zhuo); comparten solo la forma de pregunta
cerrar_brecha_dos_preguntas_estrategia	examinar_demanda_entorno_dos_marcos_temporales	CONTINUA	examinar_demanda_entorno_dos_marcos_temporales	la misma figura que CB con DS, por la mitad de la demanda (L39 your environmental demand). DUDA: la misma, pasos hermanos bajo su cabeza
cerrar_brecha_dos_preguntas_estrategia	determinar_estado_presente_capacidades_proyectos_merma	CONTINUA	determinar_estado_presente_capacidades_proyectos_merma	la condicion del hijo (ya tienes medida la demanda y tu estado presente) es el producto de la madre en su mitad del estado presente (L39 what your present activities will yield), y el hijo anade sus dos preguntas por separado, la decision, el efecto sobre la brecha y la estrategia. DUDA: se puede leer SANO de pasos hermanos de la misma serie, que la cabeza planificar_tres_pasos ya cablea por D.37
cerrar_brecha_dos_preguntas_estrategia	examinar_entorno_expectativas_tecnologia_proveedores_grupos	SANO		cerrar la brecha contra que mirar del entorno; ningun paso compartido
cerrar_brecha_dos_preguntas_estrategia	archivar_indicadores_resolver_problemas	SANO		decidir que hacer con la brecha contra guardar los indicadores para repasarlos cuando algo falle; ningun paso compartido
cerrar_brecha_dos_preguntas_estrategia	cortar_discusion_libre_momento_justo	SANO		decidir la estrategia contra el momento de pasar de la discusion a la decision en una reunion; comparten el verbo decidir y nada de procedimiento
cerrar_brecha_dos_preguntas_estrategia	definir_entorno_grupo_clientes_proveedores_competidores	SANO		cerrar la brecha contra definir que es tu entorno; ningun paso compartido
contestar_dos_preguntas_direccion_objetivos	examinar_demanda_entorno_dos_marcos_temporales	SANO		sistema de objetivos contra la demanda en dos marcos; L69 el MBO da por sabida la demanda
contestar_dos_preguntas_direccion_objetivos	zanjar_seis_preguntas_decision_adelantado	SANO		las dos preguntas del sistema de objetivos contra las seis preguntas de una decision, los dos de Grove; ninguna pregunta es la misma
contestar_dos_preguntas_direccion_objetivos	anunciar_decision_inesperada_reconvocar_reunion	SANO		sistema de objetivos contra anunciar una decision inesperada y reconvocar
contestar_dos_preguntas_direccion_objetivos	examinar_entorno_expectativas_tecnologia_proveedores_grupos	SANO		sistema de objetivos contra que mirar del entorno
contestar_dos_preguntas_direccion_objetivos	vencer_sindrome_grupo_pares_autoconfianza	SANO		sistema de objetivos contra la autoconfianza del grupo de pares
diagnosticar_capacidad_motivacion_prueba_vida	decidir_amistad_subordinado_prueba_revision_dificil	SANO		dos pruebas mentales de Grove para dos preguntas distintas: si el que no rinde no puede o no quiere (la vida en juego, cap_12 L17) contra si hacerte amigo de un subordinado (la revision dura imaginada, cap_13 L77); comparten la forma de prueba imaginada y ningun paso
definir_entorno_grupo_clientes_proveedores_competidores	examinar_entorno_expectativas_tecnologia_proveedores_grupos	CONTINUA	definir_entorno_grupo_clientes_proveedores_competidores	la condicion del hijo (ya tienes definido que es tu entorno y tienes que examinarlo) es el producto de la madre, y L27 sigue a L25 con que mirar cuando examinas ese entorno; el hijo anade los cuatro objetos y las dos preguntas sobre los otros grupos. DUDA: L27 no remite con palabras como L29
