INICIO 2026-09-25 19:57:20
contestar_dos_preguntas_direccion_objetivos rc=0 segundos=662
cerrar_brecha_dos_preguntas_estrategia rc=0 segundos=767
definir_entorno_grupo_clientes_proveedores_competidores rc=0 segundos=787
examinar_demanda_entorno_dos_marcos_temporales rc=0 segundos=1017
determinar_estado_presente_capacidades_proyectos_merma rc=0 segundos=1020
examinar_entorno_expectativas_tecnologia_proveedores_grupos rc=0 segundos=899
fijar_horizonte_ventana_replanificacion rc=0 segundos=1124
fijar_periodo_direccion_objetivos_retroalimentacion rc=0 segundos=1103
planificar_tres_pasos_demanda_estado_brecha rc=0 segundos=1031
repartir_supervision_puesto_funcional_mision rc=0 segundos=1175
elegir_modo_control_motivacion_factor_cua rc=0 segundos=1357
diagnosticar_capacidad_motivacion_prueba_vida rc=0 segundos=1339
escalonar_complejidad_puesto_empleado_nuevo rc=0 segundos=1481
fijar_meta_direccion_objetivos_mitad_probabilidad rc=0 segundos=1555
diagnosticar_nivel_motivacion_reaccion_aumento_salario rc=0 segundos=1755
decidir_amistad_subordinado_prueba_revision_dificil rc=0 segundos=1085
preparar_resena_mixta_hoja_trabajo rc=0 segundos=515
entregar_evaluacion_desempeno_tres_claves rc=0 segundos=839
guiar_subordinado_etapas_resistencia_desempeno rc=0 segundos=647
elegir_estilo_direccion_madurez_relevante_tarea rc=0 segundos=1316
TODOS TERMINADOS 2026-09-25 21:15:44
