madre	hijo	queda	tramo_madre	tramo_hijo	linea	lectura
planificar_tres_pasos_demanda_estado_brecha	examinar_demanda_entorno_dos_marcos_temporales	SOSTENGO D.37, DUDA	paso 2	pasos 1 a 5	cap_07 L19	Step 1 is to establish projected need or demand: el titulo y el cuerpo de la cabeza dicen cuantos pasos son (tres) y los nombran, y el paso 1 existe como nodo. La DUDA: la pieza del paso 1 del libro (STEP 1, L23 a L31) tiene tres nodos en la bandeja; leo que la parte es el que produce la demanda (L29, el que examina en dos marcos y se queda con la diferencia), y que definir_entorno y examinar_entorno son su entrada y no la parte (filas de abajo)
planificar_tres_pasos_demanda_estado_brecha	determinar_estado_presente_capacidades_proyectos_merma	SOSTENGO D.37	pasos 3 y 4	pasos 1 a 7	cap_07 L19	Step 2 is to establish your present status: el paso 2 de la serie existe como nodo, y su pieza del libro (STEP 2, L33 a L35) es la suya entera
planificar_tres_pasos_demanda_estado_brecha	cerrar_brecha_dos_preguntas_estrategia	SOSTENGO D.37	pasos 5 y 6	pasos 1 a 7	cap_07 L19	Step 3 is to compare and reconcile steps 1 and 2: el paso 3 de la serie existe como nodo, y su pieza del libro (STEP 3, WHAT TO DO TO CLOSE THE GAP, L37 a L39) es la suya
planificar_tres_pasos_demanda_estado_brecha	definir_entorno_grupo_clientes_proveedores_competidores	NO, DUDA	paso 2	pasos 1 a 6	cap_07 L25	Just what is your environment?: la cabeza nombra el paso 1 como la demanda, y definir el entorno es lo que se hace ANTES de poder examinar la demanda (L29 Once you have established what constitutes your environment). Queda de abuela por examinar_demanda. La contraria: la pieza STEP 1 del libro la incluye, y un lector que tome la pieza entera como parte la cablea
planificar_tres_pasos_demanda_estado_brecha	examinar_entorno_expectativas_tecnologia_proveedores_grupos	NO, DUDA	paso 2	pasos 1 a 5	cap_07 L27	What should you look for when you examine your environment?: la misma figura que definir_entorno, dentro de la pieza STEP 1 y no la parte que la cabeza nombra
definir_entorno_grupo_clientes_proveedores_competidores	examinar_demanda_entorno_dos_marcos_temporales	EN VEREDICTO	pasos 1 a 5	paso 1	cap_07 L29	EL BARRIDO LA LEVANTA: no es arista por lectura sino linea CONTINUA con madre= (mis_clases.tsv). Once you have established what constitutes your environment, you need to examine it in two time frames: el libro remite con palabras a la pieza de la madre (L25), y la condicion del hijo es su producto. Si el barrido levanta el par es linea CONTINUA y no arista por lectura
definir_entorno_grupo_clientes_proveedores_competidores	examinar_entorno_expectativas_tecnologia_proveedores_grupos	EN VEREDICTO, DUDA	pasos 1 a 5	pasos 1 a 5	cap_07 L27	EL BARRIDO LA LEVANTA: no es arista por lectura sino linea CONTINUA con madre= (mis_clases.tsv). What should you look for when you examine your environment?: la condicion del hijo (ya tienes definido que es tu entorno) es el producto de la madre y L27 sigue a L25. La DUDA: L27 no remite con palabras a la definicion como L29
examinar_demanda_entorno_dos_marcos_temporales	cerrar_brecha_dos_preguntas_estrategia	EN VEREDICTO, DUDA	pasos 1 a 5	paso 1	cap_07 L39	EL BARRIDO LA LEVANTA: no es arista por lectura sino linea CONTINUA con madre= (mis_clases.tsv). to close the gap between your environmental demand and what your present activities will yield: la condicion del hijo (ya tienes medida la demanda de tu entorno y tu estado presente) es el producto de las dos madres. La DUDA: son pasos hermanos de una serie que su cabeza ya cablea por D.37, y la arista de paso a paso puede leerse redundante con la de la cabeza
determinar_estado_presente_capacidades_proyectos_merma	cerrar_brecha_dos_preguntas_estrategia	EN VEREDICTO, DUDA	pasos 1 a 7	paso 1	cap_07 L39	EL BARRIDO LA LEVANTA: no es arista por lectura sino linea CONTINUA con madre= (mis_clases.tsv). la misma figura que la fila anterior, por la mitad del estado presente (what your present activities will yield), con la misma DUDA
examinar_demanda_entorno_dos_marcos_temporales	determinar_estado_presente_capacidades_proyectos_merma	NO, DUDA	paso 5	paso 2	cap_07 L35	be sure to use the same terms, or currency, in which you stated demand: el paso 2 de la hija usa la moneda de la demanda, que es formato y no entrada; el libro pone los dos pasos a la par para que el 3 los compare. La contraria: in which you stated demand presupone la demanda declarada
examinar_entorno_expectativas_tecnologia_proveedores_grupos	examinar_demanda_entorno_dos_marcos_temporales	NO, DUDA	paso 1	pasos 2 y 3	cap_07 L27 y L29	los dos examinan el entorno y comparten las expectativas del cliente hoy; ninguno es condicion del otro (los dos cuelgan de definir_entorno). La contraria: examinar_demanda anade el segundo marco temporal a lo que examinar_entorno mira hoy
contestar_dos_preguntas_direccion_objetivos	fijar_periodo_direccion_objetivos_retroalimentacion	NO, DUDA	paso 1	pasos 1 a 5	cap_07 L79	Upon what time period should an MBO system focus?: la hija fija un parametro del mismo sistema que la madre monta; se decide al montarlo y no despues de contestar las dos preguntas. La contraria: su condicion (decidir en que periodo se fijan los objetivos de tu sistema) presupone el sistema montado
contestar_dos_preguntas_direccion_objetivos	fijar_meta_direccion_objetivos_mitad_probabilidad	NO, DUDA	pasos 2 y 3	paso 2	cap_12 L75	In an MBO system, for example, objectives should be set at a point high enough: la misma figura, la altura del objetivo es un parametro del paso 2 de la madre y otro capitulo lo pone como ejemplo de fomentar el estiramiento. La contraria: lo mismo que la fila anterior
planificar_tres_pasos_demanda_estado_brecha	fijar_horizonte_ventana_replanificacion	NO	pasos 1 a 6	pasos 1 a 5	cap_07 L61	How far ahead should the planners look?: el horizonte y la frecuencia se deciden al montar el ejercicio, no despues de su producto
