INICIO 2026-09-24 01:13:58
empujar_persona_reunion_direccion_preferida rc=0 segundos=1249
reunir_informacion_gerencial_vias_variadas rc=0 segundos=1307
transmitir_objetivos_prioridades_preferencias rc=0 segundos=1371
programar_visita_area_observar_despachar rc=0 segundos=1412
escalonar_fuentes_informacion_gerencial rc=0 segundos=1432
subir_productividad_gerencial_tres_vias rc=0 segundos=1064
buscar_actividad_alta_palanca_tres_vias rc=0 segundos=1127
elegir_momento_actividad_palanca_maxima rc=0 segundos=1410
delegar_tarea_base_comun_seguimiento rc=0 segundos=1742
detectar_palanca_negativa_actividad_mando rc=0 segundos=1775
supervisar_decision_delegada_preguntas_concretas rc=0 segundos=935
supervisar_tarea_delegada_etapa_menor_valor rc=0 segundos=1489
identificar_paso_limitante_jornada_desfases rc=0 segundos=1083
agrupar_tareas_semejantes_aprovechar_preparacion rc=0 segundos=1216
decir_no_trabajo_excede_capacidad rc=0 segundos=1682
usar_calendario_herramienta_planificacion_produccion rc=0 segundos=1656
llevar_inventario_proyectos_discrecionales rc=0 segundos=1435
buscar_regularidad_bloques_iguales_trabajo_mando rc=0 segundos=2255
agrupar_interrupciones_subordinados_reuniones_regulares rc=0 segundos=1652
preparar_respuestas_estandar_interrupciones_repetidas rc=0 segundos=2132
canalizar_interrupciones_cartel_hora_oficina rc=0 segundos=2096
dimensionar_numero_subordinados_medio_dia_semanal rc=0 segundos=3779
TODOS TERMINADOS 2026-09-24 03:21:22
