id	paso	clase	capitulo	linea	lectura
infundir_regularidad_reunion_proceso	1	T	cap_05	L21	To make the most of this kind of meeting, we should aim to infuse it with regularity
infundir_regularidad_reunion_proceso	2	T	cap_05	L21	the people attending should know how the meeting is run
infundir_regularidad_reunion_proceso	3	T	cap_05	L21	what kinds of substantive matters are discussed
infundir_regularidad_reunion_proceso	4	T	cap_05	L21	and what is to be accomplished
infundir_regularidad_reunion_proceso	5	T	cap_05	L21	designed to allow a manager to batch transactions, to use the same production set-up time and effort to take care of many similar managerial tasks
infundir_regularidad_reunion_proceso	6	T	cap_05	L21	given the regularity, you and the others attending can begin to forecast the time required
infundir_regularidad_reunion_proceso	7	T	cap_05	L21	a production control system, as recorded on various calendars, can take shape
infundir_regularidad_reunion_proceso	8	T	cap_05	L21	a scheduled meeting will have minimum impact on other things people are doing
usar_tres_clases_reunion_proceso	1	T	cap_05	L23	At Intel we use three kinds of process-oriented meetings; nodo de nomenclatura, el paso cuenta y no ejecuta
usar_tres_clases_reunion_proceso	2	T	cap_05	L23	the one-on-one
usar_tres_clases_reunion_proceso	3	T	cap_05	L23	the staff meeting
usar_tres_clases_reunion_proceso	4	T	cap_05	L23	and the operation review
fijar_frecuencia_reunion_individual_madurez_tarea	1	T	cap_05	L33	how do you decide how often somebody needs such a meeting?; en vez de la misma para todas es glosa de each of your subordinates
fijar_frecuencia_reunion_individual_madurez_tarea	2	T	cap_05	L33	The answer is the job- or task-relevant maturity of each of your subordinates
fijar_frecuencia_reunion_individual_madurez_tarea	3	T	cap_05	L33	how much experience does a given subordinate have with the specific task at hand?
fijar_frecuencia_reunion_individual_madurez_tarea	4	T	cap_05	L33	This is not the same as the experience he has in general or how old he is
fijar_frecuencia_reunion_individual_madurez_tarea	5	T	cap_05	L33	the most effective management style in a specific instance varies from very close to very loose supervision as a subordinate's task maturity increases
fijar_frecuencia_reunion_individual_madurez_tarea	6	T	cap_05	L33	you should have one-on-ones frequently (for example, once a week) with a subordinate who is inexperienced in a specific situation
fijar_frecuencia_reunion_individual_madurez_tarea	7	T	cap_05	L33	and less frequently (perhaps once every few weeks) with an experienced veteran
fijar_frecuencia_reunion_individual_madurez_tarea	8	T	cap_05	L35	Another consideration here is how quickly things change in a job area
fijar_frecuencia_reunion_individual_madurez_tarea	9	T	cap_05	L35	In marketing, for example, the pace may be so rapid that a supervisor needs to have frequent one-on-ones to keep current
fijar_frecuencia_reunion_individual_madurez_tarea	10	T	cap_05	L35	in a research environment, life may be quieter, and for a given level of task-relevant maturity, less frequent meetings may suffice
fijar_duracion_lugar_reunion_individual	1	T	cap_05	L37	There really is no answer to this, but the subordinate must feel that there is enough time to broach and get into thorny issues
fijar_duracion_lugar_reunion_individual	2	T	cap_05	L37	If you had a big problem that you wanted to kick around with your supervisor ... would you want to bring it up in a meeting scheduled to last only fifteen minutes? You would not
fijar_duracion_lugar_reunion_individual	3	T	cap_05	L37	I feel that a one-on-one should last an hour at a minimum
fijar_duracion_lugar_reunion_individual	4	T	cap_05	L37	Anything less ... tends to make the subordinate confine himself to simple things that can be handled quickly
