INICIO 2026-09-24 21:59:17
agrupar_interrupciones_subordinados_reuniones_regulares rc=0 segundos=2108
canalizar_interrupciones_cartel_hora_oficina rc=0 segundos=2996
infundir_regularidad_reunion_proceso rc=0 segundos=3202
usar_tres_clases_reunion_proceso rc=0 segundos=3226
fijar_frecuencia_reunion_individual_madurez_tarea rc=0 segundos=4546
fijar_duracion_lugar_reunion_individual rc=0 segundos=4593
facilitar_expresion_subordinado_pregunta_mas rc=0 segundos=4046
preparar_guion_reunion_individual_subordinado rc=0 segundos=4376
tomar_notas_copia_guion_reunion_individual rc=0 segundos=3855
cubrir_indicadores_problemas_reunion_individual rc=0 segundos=5488
acumular_asuntos_importantes_fichero_espera rc=0 segundos=3107
conducir_etapas_modelo_ideal_decision rc=0 segundos=1814
alentar_asuntos_corazon_vigilar_final_reunion rc=0 segundos=3700
conducir_reunion_individual_telefono_distancia rc=0 segundos=3619
decidir_nivel_competente_inferior rc=0 segundos=1247
vencer_sindrome_grupo_pares_autoconfianza rc=0 segundos=857
tomar_mando_reunion_pares_presidente_ausente rc=0 segundos=929
cortar_discusion_libre_momento_justo rc=0 segundos=958
ejercer_poder_posicion_etapa_decision_clara rc=0 segundos=1178
zanjar_seis_preguntas_decision_adelantado rc=0 segundos=1067
programar_reunion_individual_cadena rc=0 segundos=4059
anunciar_decision_inesperada_reconvocar_reunion rc=0 segundos=885
TODOS TERMINADOS 2026-09-25 01:32:24
