a	b	clase	madre	lectura
tomar_notas_copia_guion_reunion_individual	acumular_asuntos_importantes_fichero_espera	SANO		notas sobre el guion contra fichero de espera; los dos van al seguimiento de la reunion siguiente por caminos distintos
acumular_asuntos_importantes_fichero_espera	alentar_asuntos_corazon_vigilar_final_reunion	SANO		fichero contra corazon a corazon
acumular_asuntos_importantes_fichero_espera	conducir_reunion_individual_telefono_distancia	SANO		fichero contra telefono
facilitar_expresion_subordinado_pregunta_mas	acumular_asuntos_importantes_fichero_espera	SANO		papel contra fichero
acumular_asuntos_importantes_fichero_espera	programar_reunion_individual_cadena	SANO		fichero entre reuniones contra fecha de la siguiente
preparar_guion_reunion_individual_subordinado	acumular_asuntos_importantes_fichero_espera	SANO		guion contra fichero de espera
agrupar_interrupciones_subordinados_reuniones_regulares	sostener_contacto_oferta_aceptacion	SANO		ajeno (smart_who); comparten la palabra regularidad del paso 4 (sellada en la 66)
agendar_cuidados_propios_cumplirlos	agrupar_interrupciones_subordinados_reuniones_regulares	SANO		ajeno (scott_radical_candor); agendar 4 es no saltarte tus citas contigo (sellada en la 66)
agrupar_interrupciones_subordinados_reuniones_regulares	nombrar_delegados_amigos_casa	SANO		ajeno (smart_who); comparten la palabra regularidad del paso 4 (sellada en la 66)
agrupar_interrupciones_subordinados_reuniones_regulares	llevar_inventario_proyectos_discrecionales	SANO		ajenos dentro del capitulo (sellada en la 66)
agrupar_interrupciones_subordinados_reuniones_regulares	preparar_respuestas_estandar_interrupciones_repetidas	SANO		hermanos: dos remedios distintos a la interrupcion, L315 y L317 (sellada en la 66)
agrupar_interrupciones_subordinados_reuniones_regulares	canalizar_interrupciones_cartel_hora_oficina	SANO		hermanos: tanda en reuniones (L317) contra cartel y hora de oficina (L321) (sellada en la 66)
agrupar_interrupciones_subordinados_reuniones_regulares	buscar_regularidad_bloques_iguales_trabajo_mando	SANO		agrupar paso 4 (mantener las reuniones con regularidad) nombra la regularidad; su procedimiento es la tanda (L317) (sellada en la 66)
agrupar_interrupciones_subordinados_reuniones_regulares	identificar_paso_limitante_jornada_desfases	SANO		ajenos dentro del capitulo (sellada en la 66)
fijar_duracion_lugar_reunion_individual	alentar_asuntos_corazon_vigilar_final_reunion	SANO		duracion y lugar contra corazon a corazon
alentar_asuntos_corazon_vigilar_final_reunion	conducir_reunion_individual_telefono_distancia	SANO		corazon a corazon contra telefono
alentar_asuntos_corazon_vigilar_final_reunion	programar_reunion_individual_cadena	SANO		los dos miran el final de la reunion, AC para el asunto que se suelta y PC para fijar la siguiente; ningun paso compartido
tomar_notas_copia_guion_reunion_individual	alentar_asuntos_corazon_vigilar_final_reunion	SANO		notas contra corazon a corazon
preparar_guion_reunion_individual_subordinado	alentar_asuntos_corazon_vigilar_final_reunion	SANO		guion contra corazon a corazon
facilitar_expresion_subordinado_pregunta_mas	alentar_asuntos_corazon_vigilar_final_reunion	SANO		hermanos del papel del supervisor: facilitar y preguntar una vez mas contra abrir la puerta al corazon a corazon y vigilar el final
cortar_discusion_libre_momento_justo	anunciar_decision_inesperada_reconvocar_reunion	SANO		momento contra anuncio
zanjar_seis_preguntas_decision_adelantado	anunciar_decision_inesperada_reconvocar_reunion	SANO		el ratificador de ZS paso 8 es el que da la palabra final en el ejemplo de L93, pero AD no usa la pregunta
anunciar_decision_inesperada_reconvocar_reunion	contestar_dos_preguntas_direccion_objetivos	SANO		reconvocar tras una palabra final inesperada contra las dos preguntas de la direccion por objetivos. Ajenos
tomar_mando_reunion_pares_presidente_ausente	anunciar_decision_inesperada_reconvocar_reunion	SANO		mando contra anuncio
vencer_sindrome_grupo_pares_autoconfianza	anunciar_decision_inesperada_reconvocar_reunion	SANO		sindrome contra anuncio
