INICIO 2026-09-25 16:50:12
contestar_dos_preguntas_direccion_objetivos rc=0 segundos=578
cerrar_brecha_dos_preguntas_estrategia rc=0 segundos=642
definir_entorno_grupo_clientes_proveedores_competidores rc=0 segundos=674
determinar_estado_presente_capacidades_proyectos_merma rc=0 segundos=785
examinar_demanda_entorno_dos_marcos_temporales rc=0 segundos=801
examinar_entorno_expectativas_tecnologia_proveedores_grupos rc=0 segundos=683
fijar_horizonte_ventana_replanificacion rc=0 segundos=747
fijar_periodo_direccion_objetivos_retroalimentacion rc=0 segundos=748
planificar_tres_pasos_demanda_estado_brecha rc=0 segundos=1042
repartir_supervision_puesto_funcional_mision rc=0 segundos=1170
escalonar_complejidad_puesto_empleado_nuevo rc=0 segundos=1060
elegir_modo_control_motivacion_factor_cua rc=0 segundos=1195
diagnosticar_capacidad_motivacion_prueba_vida rc=0 segundos=1145
diagnosticar_nivel_motivacion_reaccion_aumento_salario rc=0 segundos=1250
fijar_meta_direccion_objetivos_mitad_probabilidad rc=0 segundos=1194
decidir_amistad_subordinado_prueba_revision_dificil rc=0 segundos=1077
entregar_evaluacion_desempeno_tres_claves rc=0 segundos=1032
preparar_resena_mixta_hoja_trabajo rc=0 segundos=696
guiar_subordinado_etapas_resistencia_desempeno rc=0 segundos=844
elegir_estilo_direccion_madurez_relevante_tarea rc=0 segundos=1640
TODOS TERMINADOS 2026-09-25 17:58:28
