a	b	clase	madre	lectura
desarrollar_primer_curso_entrenamiento	pedir_critica_anonima_curso_entrenamiento_dictado	CONTINUA	desarrollar_primer_curso_entrenamiento	con direccion: la condicion de C es el producto de D (ya dicto su curso, L61 After you've given the course); la critica de D P6 (los subordinados mas informados durante la primera vuelta) y el formulario anonimo de C son publico, instrumento y momento distintos: C procedimenta, no nombra (ACTA 60 60.5 par 3, que releo y sostengo)
priorizar_lista_entrenamiento_subordinados	desarrollar_primer_curso_entrenamiento	CONTINUA	priorizar_lista_entrenamiento_subordinados	con direccion: la condicion de D es el producto de P (ya priorizo y elige el tema mas urgente), L53 sigue a L51 (assign priorities, the most urgent subject); procedimiento en los dos fuera del solape, sin bascula (ACTA 60 60.5 par 1, que releo y sostengo)
responder_primer_aviso_renuncia_subordinado	gestionar_retencion_subordinado_valioso_renuncia	CONTINUA	responder_primer_aviso_renuncia_subordinado	con direccion (6.1): la condicion de G es R hecho (tras la primera conversacion), L113 remite con palabras (What's your next move?), y R compra el tiempo (P6) y promete cumplir (P7) para lo que G ejecuta: escalar al propio jefe, perseguir cada via, volver con una solucion, las dos frases. Ningun paso de G esta en R ni al reves: no es REPITE. DUDA: pueden leerse SANO de dos fases hermanas de una misma pieza (I Quit, L105 a L123), que ninguna cabeza enumera; la contraria escrita es SANO
entregar_evaluacion_desempeno_tres_claves	gestionar_retencion_subordinado_valioso_renuncia	SANO		entregar la revision (cap_14) contra retener al que renuncia: dos conversaciones con un subordinado, ningun paso comun
usar_banco_nueve_preguntas_entrevista	gestionar_retencion_subordinado_valioso_renuncia	SANO		la entrevista contra la retencion tras el aviso; ningun paso compartido, y la unica palabra comun (el puesto, la empresa) es prosa
gestionar_retencion_subordinado_valioso_renuncia	pedir_critica_anonima_curso_entrenamiento_dictado	SANO		retener a quien renuncia contra recoger la critica anonima de un curso: comparten la prosa (la empresa, la gente), ningun paso
priorizar_lista_entrenamiento_subordinados	pedir_critica_anonima_curso_entrenamiento_dictado	CONTINUA	priorizar_lista_entrenamiento_subordinados	con direccion y por la cadena: C cierra el ciclo que P abre (la lista priorizada, el curso, su critica), y ningun paso compartido. DUDA: la condicion de C no es el producto de P sino el de D; leido solo par a par, P es su abuela y cabria SANO con la relacion llevada por D (como definir_entorno con cerrar_brecha en mi fase ciega de la 71); lo dejo CONTINUA porque la ACTA 60 60.5 par 2 lo adjudico asi con la vara y mi lectura de hoy no lo contradice, solo lo afina
pedir_critica_anonima_curso_entrenamiento_dictado	usar_banco_nueve_preguntas_entrevista	SANO		un formulario anonimo tras un curso contra nueve preguntas a un candidato: comparten la forma pregunta, no el procedimiento ni la condicion
pedir_critica_anonima_curso_entrenamiento_dictado	repartir_supervision_puesto_funcional_mision	SANO		el jefe funcional que cuida la formacion del puesto (paso 6) no dicta ni evalua un curso: comparten la palabra formado
pedir_critica_anonima_curso_entrenamiento_dictado	responder_primer_aviso_renuncia_subordinado	SANO		la critica del curso contra la primera conversacion con quien renuncia: comparten preguntar y escuchar, a otra gente y para otra cosa
entregar_evaluacion_desempeno_tres_claves	pedir_critica_anonima_curso_entrenamiento_dictado	SANO		la revision que da el mando contra la critica que recibe de su clase: direcciones opuestas y ningun paso comun
priorizar_lista_entrenamiento_subordinados	reciclar_empleado_ascendido_mas_alla_capacidad	SANO		la lista de entrenamiento contra devolver a un ascendido a su puesto: solo comparten subordinado y puesto
preguntar_seguimiento_hallar_huecos	responder_primer_aviso_renuncia_subordinado	SANO		las preguntas de seguimiento de Scott en la reunion a solas contra hazle mas preguntas del aviso de renuncia: la forma pregunta, en otra conversacion y con otro fin
usar_banco_nueve_preguntas_entrevista	responder_primer_aviso_renuncia_subordinado	SANO		las dos tareas dificiles del capitulo son dos tareas (L13: interviewing ... and trying to talk a valued employee out of quitting); nueve preguntas a un candidato contra la primera conversacion con quien renuncia; ningun paso compartido
entregar_evaluacion_desempeno_tres_claves	responder_primer_aviso_renuncia_subordinado	SANO		las dos piden escuchar al subordinado, pero la revision es franqueza y comprobar que el mensaje llego, y el aviso es callar, preguntar y comprar tiempo: procedimiento en los dos lados, sin bascula
construir_indicador_tendencia_patron	responder_primer_aviso_renuncia_subordinado	SANO		un indicador de salida contra una conversacion: solo la prosa
planificar_tres_pasos_demanda_estado_brecha	responder_primer_aviso_renuncia_subordinado	SANO		planificar contra la conversacion del aviso: solo la prosa
identificar_disparadores_propios_reaccion	usar_banco_nueve_preguntas_entrevista	SANO		las cuatro preguntas de Zhuo para hallar tus disparadores contra las nueve a un candidato: la forma pregunta y la palabra debilidad
entregar_evaluacion_desempeno_tres_claves	usar_banco_nueve_preguntas_entrevista	SANO		evaluar al de dentro contra entrevistar al de fuera; el libro las compara en L27 y L89 de cap_15 y las separa (la trampa del potencial), y ningun paso comun
planificar_tres_pasos_demanda_estado_brecha	usar_banco_nueve_preguntas_entrevista	SANO		planificar contra entrevistar: solo la prosa
