INICIO 2026-09-26 15:05:11
asignar_responsable_unico_evolucion_planificada rc=0 segundos=492
acoger_inspectores_externos_fuente_aprendizaje rc=0 segundos=631
aplicar_ejercicio_codigo_genetico_control rc=0 segundos=1059
auditar_formacion_premios_ultima_fila rc=0 segundos=1072
cambiar_forma_trabajar_conservar_plantilla rc=0 segundos=1144
ceder_control_reforzar_competencia_claridad rc=0 segundos=753
eliminar_seguimiento_descendente_responsabilizar_dueno rc=0 segundos=483
contar_firmas_cadena_tramite_parado rc=0 segundos=978
declarar_intencion_reemplazar_peticion_permiso rc=0 segundos=759
encargar_meta_especifica_dejar_libre_metodo rc=0 segundos=830
identificar_temas_formacion_tarjetas_decision rc=0 segundos=1024
informar_cierre_jornada_conservar_propiedad_trabajo rc=0 segundos=1065
inspeccionar_reparto_informacion_notas_jefe rc=0 segundos=1045
observar_reunion_rutinaria_senales_plantilla rc=0 segundos=886
recorrer_organizacion_escuchar_plantilla rc=0 segundos=746
reforzar_principios_guia_lenguaje_prueba_conocimiento rc=0 segundos=581
repetir_mensaje_invariable_diario_reunion_evento rc=0 segundos=505
resistir_dar_solucion_clasificar_decision_urgencia rc=0 segundos=689
seguir_frustrado_preguntar_implantacion_ideas rc=0 segundos=891
tomar_accion_deliberada_pausar_vocalizar_gesticular rc=0 segundos=894
TODOS TERMINADOS 2026-09-26 16:05:25
