id	clase	pasos_que_leo_PUENTE
revisar_tres_preguntas_valor_carrera	SOSTENIDO_CON_RESERVA
clasificar_trabajo_proceso_montaje_prueba	SOSTENIDO
rehacer_flujo_paso_limitante_capacidad	SOSTENIDO
equilibrar_capacidad_personal_inventario_plazo	SOSTENIDO
preferir_inspeccion_proceso_prueba_destructiva	SOSTENIDO
dimensionar_inventario_materia_prima_reposicion	SOSTENIDO
detectar_arreglar_fallo_etapa_menor_valor	SOSTENIDO
construir_flujo_produccion_paso_limitante	SOSTENIDO
elegir_cinco_indicadores_diarios_fabrica	SOSTENIDO
emparejar_indicadores_efecto_contraefecto	SOSTENIDO
elegir_indicador_salida_trabajo_administrativo	SOSTENIDO
representar_actividad_caja_negra_ventanas	SOSTENIDO_CON_RESERVA
construir_indicador_linealidad_alerta_temprana	SOSTENIDO
construir_indicador_tendencia_patron	SOSTENIDO
construir_grafico_escalonado_pronosticos	SOSTENIDO
archivar_indicadores_resolver_problemas	SOSTENIDO_CON_RESERVA
elegir_fabricar_pedido_pronostico	SOSTENIDO
casar_flujo_fabricacion_flujo_ventas	SOSTENIDO
dimensionar_plantilla_administrativa_pronostico	SOSTENIDO
decidir_aceptar_rechazar_material_defectuoso	SOSTENIDO
elegir_inspeccion_barrera_monitorizacion	SOSTENIDO
variar_frecuencia_inspeccion_nivel_calidad	SOSTENIDO	6
simplificar_trabajo_reducir_numero_pasos	SOSTENIDO
