madre	hijo	queda	tramo_madre	tramo_hijo	linea	lectura
fingir_prototipo_cinco_mil_replicas	dar_valor_constante_cuatro_publicos	SOSTENGO D.37	paso 5	pasos 1 a 8	cap_11 L45	1. The model will provide consistent value to your customers, employees, suppliers, and lenders, beyond what they expect: la madre dice cuantas reglas son (seis, titulo y paso 4) y las nombra en sus pasos 5 a 10; el hijo es la regla 1 desplegada (L59 a L83). Si el barrido levanta el par, es la linea CONTINUA de mi clase y no arista por lectura (D.53)
fingir_prototipo_cinco_mil_replicas	operar_modelo_gente_destreza_minima	SOSTENGO D.37	paso 6	pasos 1 a 10	cap_11 L47	2. The model will be operated by people with the lowest possible level of skill: regla 2 desplegada de L85 a L133
fingir_prototipo_cinco_mil_replicas	documentar_trabajo_manual_operaciones	SOSTENGO D.37	paso 8	pasos 1 a 10	cap_11 L51	4. All work in the model will be documented in Operations Manuals: regla 4 desplegada de L153 a L173
fingir_prototipo_cinco_mil_replicas	unificar_color_forma_vestuario_modelo	SOSTENGO D.37	paso 10	pasos 1 a 8	cap_11 L55	6. The model will utilize a uniform color, dress, and facilities code: regla 6 desplegada de L213 a L241. Las reglas 3 y 5 (L49 y L53) no tienen ficha en ninguna sede que yo haya encontrado (temas.py)
fingir_prototipo_cinco_mil_replicas	recorrer_siete_pasos_programa_desarrollo_negocio	SOSTENGO D.29	pasos 1 a 3	paso 1 y condicion	cap_13 L21 y L41	Now you understand the task ahead: to think of your business as though it were the prototype for 5,000 more just like it / the vehicle through which you can create your Franchise Prototype: el libro encadena con palabras el programa a la tarea de fingir el prototipo, y la condicion del hijo (cuando ya finges que tu negocio es el prototipo de 5.000 replicas) es el producto de la madre. Si el barrido levanta el par, es linea CONTINUA
recorrer_siete_pasos_programa_desarrollo_negocio	construir_estrategia_gente_cuatro_componentes	SOSTENGO D.37, DUDA	paso 8	pasos 1 a 5	cap_13 L53	5. Your People Strategy: la cabeza dice cuantos pasos son (seven distinct steps, L43) y los nombra; el hijo es la People Strategy misma, su definicion y su composicion (cap_18 L117 y L119, Your People Strategy is the way you communicate this idea. It starts with ...), no un metodo dentro de ella. d111: es la unica parte que la cabeza gana de las dos que le quedaban. DUDA: la frontera de la vuelta 5 leyo los pasos 1 y 2 (cap_14 y cap_15) como METODO DENTRO del paso y no cabeza; si GEN se lee igual, recorrer entra con 0 de 7 y sin arista a parte
recorrer_siete_pasos_programa_desarrollo_negocio	distinguir_tres_tipos_sistemas_negocio	NO SOSTENGO	paso 10	pasos 1 a 5	cap_13 L57	7. Your Systems Strategy: la ficha es la tipologia de la seccion Three Kinds of Systems (cap_19 L33 a L43), una pieza dentro del paso 7 y no el paso; cap_19 nunca define la Systems Strategy como procedimiento (L357 la llama the glue). d111: el paso 7 queda sin parte
recorrer_siete_pasos_programa_desarrollo_negocio	aplicar_seis_pasos_sistema_venta	NO SOSTENGO	paso 10	pasos 1 a 6	cap_13 L57	7. Your Systems Strategy: el sistema de venta es un Soft System de ejemplo dentro del capitulo (cap_19 L137 a L153), no el paso 7
recorrer_siete_pasos_programa_desarrollo_negocio	medir_sistema_venta_trece_indicadores_benchmark	NO SOSTENGO	paso 10	pasos 1 a 14	cap_13 L57	7. Your Systems Strategy: el Information Benchmark es el ejemplo de Information System del capitulo (cap_19 L305 a L337), no el paso 7
recorrer_siete_pasos_programa_desarrollo_negocio	aplicar_cinco_pasos_proceso_contratacion	NO SOSTENGO	paso 8	pasos 1 a 12	cap_13 L53	5. Your People Strategy: el proceso de contratacion es un medio dentro de la People Strategy (cap_18 L245, the first and most essential medium), no el paso 5
