AVISO: cero celdas tecleadas en este instrumento. El arranque del cuerpo NO
es una constante mia: sale de fuentes/gerber_emyth/cap_16.md, linea 8, que es la siguiente al segundo
--- de la cabecera yaml (cierres en L1 y L7). El cuerpo va de L8 a L489.

| pieza | lineas | palabras | que es | clase |
|---|---|---:|---|---|
| `R1` | L8 a L20 | **51** | el numero del capitulo, el rotulo YOUR ORGANIZATIONAL STRATEGY y el epigrafe de Theodore Levitt (Management for Business Growth) | **RESIDUO: rotulo y epigrafe** |
| `R2` | L21 a L30 | **87** | todo el mundo quiere organizarse, y el desarrollo organizacional del Organization Chart puede tener mas impacto en una empresa pequenia que cualquier otro paso del Business Development | **POSTURA** |
| `R3` | L31 a L154 | **704** | Organizing Around Personalities: el caso negativo de Jack y Murray Hopeful organizando Widget Makers alrededor de personas en vez de funciones, turnandose las tareas hasta el caos, sin que nadie sepa quien responde de que | **CASO** |
| `R4` | L155 a L244 | **1166** | Organizing Your Company: el caso positivo, Jack y Murray vuelven a empezar como accionistas, escriben su Primary Aim y su Strategic Objective, y acuerdan las posiciones de SU Organization Chart y que es un Position Contract | **CASO** |
| `R5` | L245 a L318 | **785** | Widget Makers Inc Organization Chart: Jack y Murray deciden quien llena cada posicion y firman los Position Contracts de SU empresa, hasta quedar organizados | **CASO** |
| `R6` | L319 a L420 | **1138** | Prototyping the Position: Jack y Murray prototipan sus propias posiciones con Innovacion, Cuantificacion y Orquestacion, contratan un aprendiz para el puesto de Murray, y el cierre general de que el Organization Chart fluye del Strategic Objective y este del Primary Aim | **CASO** |
| `R7` | L421 a L489 | **904** | el dialogo de Sarah confirmando que entendio la leccion sobre crear su propio Organization Chart y firmar los Position Contracts como si fuera cada empleado | **CASO** |
| **el cuerpo entero** | **L8 a L489** | **4835** | **suma de las piezas: 4835** | **residuo sin asignar: 0** |

piezas: 7   lineas solapadas: 0   lineas sin cubrir: 0   cuerpo 4835   suma 4835   residuo 0
