madre	hijo	queda	tramo_madre	tramo_hijo	linea	lectura
construir_flujo_produccion_paso_limitante	identificar_paso_limitante_jornada_desfases	SOSTENGO	pasos 5 y 9	pasos 2 y 4	cap_04 L267	d072. what is the egg in our work: el hijo fija el paso limitante de la jornada con el procedimiento de la madre (paso 5) y escalona alrededor (desfase, paso 9); trae criterio propio para elegirlo (paso 3, lo que tiene calendario absoluto, no lo que mas tarda). CONTINUA por lectura, no REPITE
variar_frecuencia_inspeccion_nivel_calidad	supervisar_tarea_delegada_etapa_menor_valor	SOSTENGO, DUDA	pasos 2 a 4	pasos 4, 5 y 7	cap_04 L253	A second principle applies to the frequency ... A variable approach should be employed: es el principio de calidad de cap_03 P19 aplicado a la tarea delegada, la misma figura que detectar contra supervisar. La DUDA: el hijo mueve la frecuencia por la madurez del subordinado (paso 6), no por el nivel de calidad
delegar_tarea_base_comun_seguimiento	supervisar_tarea_delegada_etapa_menor_valor	SOSTENGO	pasos 7 y 8	paso 1	cap_04 L249 y L253	la madre dice que supervisar la tarea delegada es la unica via de asegurar el resultado; el hijo dice como se supervisa
delegar_tarea_base_comun_seguimiento	supervisar_decision_delegada_preguntas_concretas	SOSTENGO	paso 7	pasos 1 y 2	cap_04 L257	Making certain types of decisions is something managers frequently delegate ... By monitoring their decision-making process
transmitir_objetivos_prioridades_preferencias	delegar_tarea_base_comun_seguimiento	SOSTENGO, DUDA	paso 5	paso 2	cap_04 L159 y L245	L159 dice que transmitir objetivos es la llave de la delegacion, y la base comun que delegar comprueba es lo que transmitir construye. La DUDA: L245 no remite a L159 con palabras
identificar_paso_limitante_jornada_desfases	usar_calendario_herramienta_planificacion_produccion	SOSTENGO	pasos 2 a 4	paso 6	cap_04 L275	schedule work that is not time-critical between those limiting steps in the day: el hijo usa el producto de la madre
agrupar_tareas_semejantes_aprovechar_preparacion	agrupar_interrupciones_subordinados_reuniones_regulares	SOSTENGO	pasos 1 y 3	paso 1	cap_04 L317	if you use the production principle of batching: el hijo aplica la tanda de la madre a las interrupciones, con procedimiento propio (reuniones de personal y de uno a uno, regulares)
buscar_regularidad_bloques_iguales_trabajo_mando	canalizar_interrupciones_cartel_hora_oficina	SOSTENGO	paso 1	paso 8	cap_04 L305 y L323	To make something regular that was once irregular is a fundamental production principle: el hijo cierra con el principio que la madre abre
buscar_actividad_alta_palanca_tres_vias	detectar_palanca_negativa_actividad_mando	SOSTENGO, DUDA	paso 1	paso 1	cap_04 L219	la condicion del hijo (repasas tus actividades buscando su palanca) es el paso 1 de la madre. La DUDA: ese paso 1 es el que marco D en la fidelidad, asi que la arista descansa en un verbo del extractor
representar_actividad_caja_negra_ventanas	buscar_regularidad_bloques_iguales_trabajo_mando	SOSTENGO, DUDA	pasos 8 y 9	paso 5	cap_04 L305	cutting windows into the black box of our organization: el hijo ejecuta el procedimiento de la madre para buscar fuentes de problemas futuros. La DUDA: puede leerse como nombrar sin procedimentar
elegir_fabricar_pedido_pronostico	usar_calendario_herramienta_planificacion_produccion	NO	paso 9	paso 1	cap_04 L273	el hijo toma el contraste taller contra fabrica como marco, no usa la decision de la madre (plazos, riesgo de inventario). Nombrar no es procedimentar
subir_productividad_gerencial_tres_vias	identificar_paso_limitante_jornada_desfases	NO	paso 2	paso 1	cap_04 L261 y L267	los principios de produccion de L267 a L291 son maneras de subir el ritmo, pero ninguna condicion de sus nodos presupone la decision de subir; no declaro el abanico
reunir_informacion_gerencial_vias_variadas	programar_visita_area_observar_despachar	NO			cap_04 L155	la visita es otra via, no continua el producto de reunir (hermanos, y el par esta levantado: SANO)
